symbol,name,currency,exchange,type
CLIC,Comet Lithium Corp.,CAD,TSXV,Common Stock
CLIP,Clip Money Inc.,CAD,TSXV,Common Stock
CLM,Consolidated Lithium Metals Inc.,CAD,TSXV,Common Stock
CLUS,Colossus Resources Corp.,CAD,TSXV,Common Stock
CLV,Canoe Mining Ventures Corp.,CAD,TSXV,Common Stock
CLZ.H,Canasil Resources Inc.,CAD,TSXV,Common Stock
CMC,Cielo Waste Solutions Corp.,CAD,TSXV,Common Stock
CMI,C-Com Satellite Systems Inc.,CAD,TSXV,Common Stock
CMIL,Capella Minerals Ltd.,CAD,TSXV,Common Stock
CMO.H,Cliffmont Resources Ltd,CAD,TSXV,Common Stock
CMU,Comet Industries Ltd.,CAD,TSXV,Common Stock
CN,Condor Resources Inc.,CAD,TSXV,Common Stock
CNC,G2SF 5.5% 1996 Floating Rate Note,CAD,TSXV,Common Stock
CNCO,Core Nickel Corp.,CAD,TSXV,Common Stock
CNJ.PR.,CNJ Capital Investments Inc.,CAD,TSXV,Common Stock
CNO,California Nanotechnologies Corp.,CAD,TSXV,Common Stock
CNRI,Canadian North Resources Inc.,CAD,TSXV,Common Stock
CNS,Contagious Gaming Inc.,CAD,TSXV,Common Stock
CNST.PR.,Constellation Capital Corp.,CAD,TSXV,Common Stock
CNVI,Conavi Medical Corp.,CAD,TSXV,Common Stock
COCO,Coast Copper Corp.,CAD,TSXV,Common Stock
COLL.PR.,Collingwood Resources Corp.,CAD,TSXV,Common Stock
CONE,Canada One Mining Corp.,CAD,TSXV,Common Stock
COO,Ostrom Climate Solutions Inc.,CAD,TSXV,Common Stock
COR,Camino Minerals Corp.,CAD,TSXV,Common Stock
COS,Coniagas Battery Metals Inc.,CAD,TSXV,Common Stock
COSA,Cosa Resources Corp,CAD,TSXV,Common Stock
COV,Covalon Technologies Ltd.,CAD,TSXV,Common Stock
CPAU,CopAur Minerals Inc.,CAD,TSXV,Common Stock
CPER,CopperCorp Resources Inc.,CAD,TSXV,Common Stock
CPI,Carlton Precious Inc.,CAD,TSXV,Common Stock
CPL,Copper Lake Resources Ltd.,CAD,TSXV,Common Stock
CPS,Canadian Premium Sand Inc.,CAD,TSXV,Common Stock
CQR,Conquest Resources Ltd.,CAD,TSXV,Common Stock
CRB,Cariboo Rose Resources Ltd.,CAD,TSXV,Common Stock
CRD,Copper Road Resources Inc.,CAD,TSXV,Common Stock
CRE,Critical Elements Lithium Corporation,CAD,TSXV,Common Stock
CRI,Churchill Resources Inc.,CAD,TSXV,Common Stock
CSG,Cosigo Resources Ltd.,CAD,TSXV,Common Stock
CSL.H,Comstock Metals Ltd.,CAD,TSXV,Common Stock
CSOC.A,Canso Select Opportunities Corp Class A,CAD,TSXV,Common Stock
CSOC.B,Canso Select Opportunities Corporation,CAD,TSXV,Common Stock
CSPN,Carespan Health Inc.,CAD,TSXV,Common Stock
CSTL.PR.,Castlecap Capital Inc.,CAD,TSXV,Preferred Stock
CSTR,Cryptostar Corp.,CAD,TSXV,Common Stock
CSX.H,Clean Seed Capital Group Ltd.,CAD,TSXV,Common Stock
CTA,Centaurus Energy Inc.,CAD,TSXV,Common Stock
CTEK,Cleantek Industries Inc.,CAD,TSXV,Common Stock
CTG,Centenario Gold Corp.,CAD,TSXV,Common Stock
CTH,CoTec Holdings Corp.,CAD,TSXV,Common Stock
CTM,Canterra Minerals Corp.,CAD,TSXV,Common Stock
CTN,Centurion Minerals Ltd.,CAD,TSXV,Common Stock
CTRL,Edge Total Intelligence Inc.,CAD,TSXV,Common Stock
CTV,CleanTech Vanadium Mining Corp.,CAD,TSXV,Common Stock
CTZ,Namsys Inc.,CAD,TSXV,Common Stock
CUB,CubicFarm Systems Corp.,CAD,TSXV,Common Stock
CUCU,Global Copper Corp.,CAD,TSXV,Common Stock
CUEX,CopperEx Resources Corporation,CAD,TSXV,Common Stock
CUU,Copper Fox Metals Inc.,CAD,TSXV,Common Stock
CVB,Compass Gold Corporation,CAD,TSXV,Common Stock
CVI.PR.,Compass Venture Inc.,CAD,TSXV,Common Stock
CVV,CanAlaska Uranium Ltd.,CAD,TSXV,Common Stock
CVW,CVW Sustainable Royalties Inc.,CAD,TSXV,Common Stock
CVX,CEMATRIX Corp,CAD,TSXV,Common Stock
CWV,Crown Point Energy Inc.,CAD,TSXV,Common Stock
CYBE,Cybercatch Holdings Inc,CAD,TSXV,Common Stock
CYF,Canyon Creek Food Company Ltd.,CAD,TSXV,Common Stock
CYG,Cygnus Metals Limited,CAD,TSXV,Common Stock
CYL,Ceylon Graphite Corp.,CAD,TSXV,Common Stock
